##,,Estimate,Std.Error,tvalue,Pr(>|t|)
##,mu,0.0001924,0.0014865,0.129,0.897029
##,ar1,0.7030944,0.0248310,28.315,<2e-16
##,ma1,-0.9772436,0.0069917,-139.772,<2e-16
##,omega,3.9265142,0.2121147,18.511,<2e-16
##,alpha1,0.1456684,0.0391164,3.724,0.000196
