##,,Estimate,Std.Error,tvalue,Pr(>|t|)
##,mu,2.401e-04,3.126e-03,0.077,0.938778
##,ar1,6.591e-01,3.613e-02,18.240,<2e-16
##,ma1,-8.927e-01,4.604e-02,-19.391,<2e-16
##,ma2,-5.786e-02,4.204e-02,-1.376,0.168779
##,omega,3.111e+00,2.803e-01,11.097,<2e-16
##,alpha1,1.343e-01,3.650e-02,3.680,0.000233
##,alpha2,5.804e-02,3.574e-02,1.624,0.104384
##,alpha3,1.000e-08,4.969e-02,0.000,1.000000
##,alpha4,6.826e-02,3.226e-02,2.116,0.034354
##,alpha5,7.514e-02,3.455e-02,2.175,0.029623
